WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACAD_CIP_PREVIOUS_PRODUCT_INFO", handle="8FF", group="280", value="     1"
WARNING (039240): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039248): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039252): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039260): XRECORD object group 280 unknown/not supported - ignored.
WARNING (039268): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039276): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039284): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039292): XRECORD object group 280 unknown/not supported - ignored.
WARNING (039300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039312): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039320): XRECORD object group 140 unknown/not supported - ignored.
WARNING (039328): XRECORD object group 90 unknown/not supported - ignored.
WARNING (039336): XRECORD object group 1 unknown/not supported - ignored.
WARNING (039344): XRECORD object group 280 unknown/not supported - ignored.
WARNING (039352): XRECORD object group 140 unknown/not supported - ignored.
WARNING (039360): XRECORD object group 140 unknown/not supported - ignored.
WARNING (040156): XRECORD object group 280 unknown/not supported - ignored.
WARNING (040164): XRECORD object group 280 unknown/not supported - ignored.
WARNING (040172): XRECORD object group 280 unknown/not supported - ignored.
WARNING (040180): XRECORD object group 280 unknown/not supported - ignored.
WARNING (040188): XRECORD object group 280 unknown/not supported - ignored.
WARNING (040196): XRECORD object group 280 unknown/not supported - ignored.
WARNING (040204): XRECORD object group 280 unknown/not supported - ignored.
WARNING (040212): XRECORD object group 280 unknown/not supported - ignored.
WARNING (040220): XRECORD object group 280 unknown/not supported - ignored.
WARNING (040228): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040236): XRECORD object group 140 unknown/not supported - ignored.
WARNING (040244): XRECORD object group 140 unknown/not supported - ignored.
WARNING (040252): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040260): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040264): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040272): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040300): XRECORD object group 280 unknown/not supported - ignored.
WARNING (040308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040324): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040332): XRECORD object group 280 unknown/not supported - ignored.
WARNING (040340): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040348): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040360): XRECORD object group 140 unknown/not supported - ignored.
WARNING (040368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (040376): XRECORD object group 1 unknown/not supported - ignored.
WARNING (040384): XRECORD object group 280 unknown/not supported - ignored.
WARNING (040392): XRECORD object group 140 unknown/not supported - ignored.
WARNING (040400): XRECORD object group 140 unknown/not supported - ignored.
WARNING (041196): XRECORD object group 280 unknown/not supported - ignored.
WARNING (041204): XRECORD object group 280 unknown/not supported - ignored.
WARNING (041212): XRECORD object group 280 unknown/not supported - ignored.
WARNING (041220): XRECORD object group 280 unknown/not supported - ignored.
WARNING (041228): XRECORD object group 280 unknown/not supported - ignored.
WARNING (041236): XRECORD object group 280 unknown/not supported - ignored.
WARNING (041244): XRECORD object group 280 unknown/not supported - ignored.
WARNING (041252): XRECORD object group 280 unknown/not supported - ignored.
WARNING (041260): XRECORD object group 280 unknown/not supported - ignored.
WARNING (041268): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041276): XRECORD object group 140 unknown/not supported - ignored.
WARNING (041284): XRECORD object group 140 unknown/not supported - ignored.
WARNING (041292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041304): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041312): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041328): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041332): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041340): XRECORD object group 280 unknown/not supported - ignored.
WARNING (041348): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041356): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041364): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041372): XRECORD object group 280 unknown/not supported - ignored.
WARNING (041380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041388): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041392): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041400): XRECORD object group 140 unknown/not supported - ignored.
WARNING (041408): XRECORD object group 90 unknown/not supported - ignored.
WARNING (041416): XRECORD object group 1 unknown/not supported - ignored.
WARNING (041424): XRECORD object group 280 unknown/not supported - ignored.
WARNING (041432): XRECORD object group 140 unknown/not supported - ignored.
WARNING (041440): XRECORD object group 140 unknown/not supported - ignored.
WARNING (042236): XRECORD object group 280 unknown/not supported - ignored.
WARNING (042244): XRECORD object group 280 unknown/not supported - ignored.
WARNING (042252): XRECORD object group 280 unknown/not supported - ignored.
WARNING (042260): XRECORD object group 280 unknown/not supported - ignored.
WARNING (042268): XRECORD object group 280 unknown/not supported - ignored.
WARNING (042276): XRECORD object group 280 unknown/not supported - ignored.
WARNING (042284): XRECORD object group 280 unknown/not supported - ignored.
WARNING (042292): XRECORD object group 280 unknown/not supported - ignored.
WARNING (042300): XRECORD object group 280 unknown/not supported - ignored.
WARNING (042308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042316): XRECORD object group 140 unknown/not supported - ignored.
WARNING (042324): XRECORD object group 140 unknown/not supported - ignored.
WARNING (042332): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042340): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042360): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042372): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042380): XRECORD object group 280 unknown/not supported - ignored.
WARNING (042388): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042404): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (042420): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042428): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042432): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042440): XRECORD object group 140 unknown/not supported - ignored.
WARNING (042448): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042456): XRECORD object group 1 unknown/not supported - ignored.
WARNING (042464): XRECORD object group 280 unknown/not supported - ignored.
WARNING (042472): XRECORD object group 140 unknown/not supported - ignored.
WARNING (042480): XRECORD object group 140 unknown/not supported - ignored.
WARNING (043276): XRECORD object group 280 unknown/not supported - ignored.
WARNING (043284): XRECORD object group 280 unknown/not supported - ignored.
WARNING (043292): XRECORD object group 280 unknown/not supported - ignored.
WARNING (043300): XRECORD object group 280 unknown/not supported - ignored.
WARNING (043308): XRECORD object group 280 unknown/not supported - ignored.
WARNING (043316): XRECORD object group 280 unknown/not supported - ignored.
WARNING (043324): XRECORD object group 280 unknown/not supported - ignored.
WARNING (043332): XRECORD object group 280 unknown/not supported - ignored.
WARNING (043340): XRECORD object group 280 unknown/not supported - ignored.
WARNING (043348): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043356): XRECORD object group 140 unknown/not supported - ignored.
WARNING (043364): XRECORD object group 140 unknown/not supported - ignored.
WARNING (043372): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043384): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043392): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043400): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043408): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043412): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043420): XRECORD object group 280 unknown/not supported - ignored.
WARNING (043428): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043436): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043444): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043452): XRECORD object group 280 unknown/not supported - ignored.
WARNING (043460): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043468): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043472): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043480): XRECORD object group 140 unknown/not supported - ignored.
WARNING (043488): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043496): XRECORD object group 1 unknown/not supported - ignored.
WARNING (043504): XRECORD object group 280 unknown/not supported - ignored.
WARNING (043512): XRECORD object group 140 unknown/not supported - ignored.
WARNING (043520): XRECORD object group 140 unknown/not supported - ignored.
WARNING (044316): XRECORD object group 280 unknown/not supported - ignored.
WARNING (044324): XRECORD object group 280 unknown/not supported - ignored.
WARNING (044332): XRECORD object group 280 unknown/not supported - ignored.
WARNING (044340): XRECORD object group 280 unknown/not supported - ignored.
WARNING (044348): XRECORD object group 280 unknown/not supported - ignored.
WARNING (044356): XRECORD object group 280 unknown/not supported - ignored.
WARNING (044364): XRECORD object group 280 unknown/not supported - ignored.
WARNING (044372): XRECORD object group 280 unknown/not supported - ignored.
WARNING (044380): XRECORD object group 280 unknown/not supported - ignored.
WARNING (044388): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044396): XRECORD object group 140 unknown/not supported - ignored.
WARNING (044404): XRECORD object group 140 unknown/not supported - ignored.
WARNING (044412): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044420): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044424): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044432): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044440): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044448): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044452): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044460): XRECORD object group 280 unknown/not supported - ignored.
WARNING (044468): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044476): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044484): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044492): XRECORD object group 280 unknown/not supported - ignored.
WARNING (044500): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044508): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044512): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044520): XRECORD object group 140 unknown/not supported - ignored.
WARNING (044528): XRECORD object group 90 unknown/not supported - ignored.
WARNING (044536): XRECORD object group 1 unknown/not supported - ignored.
WARNING (044544): XRECORD object group 280 unknown/not supported - ignored.
WARNING (044552): XRECORD object group 140 unknown/not supported - ignored.
WARNING (044560): XRECORD object group 140 unknown/not supported - ignored.
WARNING (045356): XRECORD object group 280 unknown/not supported - ignored.
WARNING (045364): XRECORD object group 280 unknown/not supported - ignored.
WARNING (045372): XRECORD object group 280 unknown/not supported - ignored.
WARNING (045380): XRECORD object group 280 unknown/not supported - ignored.
WARNING (045388): XRECORD object group 280 unknown/not supported - ignored.
WARNING (045396): XRECORD object group 280 unknown/not supported - ignored.
WARNING (045404): XRECORD object group 280 unknown/not supported - ignored.
WARNING (045412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (045420): XRECORD object group 280 unknown/not supported - ignored.
WARNING (045428): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045436): XRECORD object group 140 unknown/not supported - ignored.
WARNING (045444): XRECORD object group 140 unknown/not supported - ignored.
WARNING (045452): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045460): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045464): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045472): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045480): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045488): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045492): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045500): XRECORD object group 280 unknown/not supported - ignored.
WARNING (045508): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045516): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045524): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045532): XRECORD object group 280 unknown/not supported - ignored.
WARNING (045540): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045548): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045552): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045560): XRECORD object group 140 unknown/not supported - ignored.
WARNING (045568): XRECORD object group 90 unknown/not supported - ignored.
WARNING (045576): XRECORD object group 1 unknown/not supported - ignored.
WARNING (045584): XRECORD object group 280 unknown/not supported - ignored.
WARNING (045592): XRECORD object group 140 unknown/not supported - ignored.
WARNING (045600): XRECORD object group 140 unknown/not supported - ignored.
WARNING (046396): XRECORD object group 280 unknown/not supported - ignored.
WARNING (046404): XRECORD object group 280 unknown/not supported - ignored.
WARNING (046412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (046420): XRECORD object group 280 unknown/not supported - ignored.
WARNING (046428): XRECORD object group 280 unknown/not supported - ignored.
WARNING (046436): XRECORD object group 280 unknown/not supported - ignored.
WARNING (046444): XRECORD object group 280 unknown/not supported - ignored.
WARNING (046452): XRECORD object group 280 unknown/not supported - ignored.
WARNING (046460): XRECORD object group 280 unknown/not supported - ignored.
WARNING (046468): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046476): XRECORD object group 140 unknown/not supported - ignored.
WARNING (046484): XRECORD object group 140 unknown/not supported - ignored.
WARNING (046492): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046500): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046504): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046512): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046520): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046528): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046532): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046540): XRECORD object group 280 unknown/not supported - ignored.
WARNING (046548): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046556): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046564): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046572): XRECORD object group 280 unknown/not supported - ignored.
WARNING (046580): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046588): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046592): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046600): XRECORD object group 140 unknown/not supported - ignored.
WARNING (046608): XRECORD object group 90 unknown/not supported - ignored.
WARNING (046616): XRECORD object group 1 unknown/not supported - ignored.
WARNING (046624): XRECORD object group 280 unknown/not supported - ignored.
WARNING (046632): XRECORD object group 140 unknown/not supported - ignored.
